month,soi_index
March-1894,1.104
April-1894,-0.857
May-1894,-0.008
June-1894,0.471
July-1894,-1.405
August-1894,-0.241
September-1894,0.31
October-1894,-0.894
November-1894,0.065
December-1894,0.544
January-1895,0.617
February-1895,-0.265
March-1895,1.336
April-1895,0.651
May-1895,-1.255
June-1895,-0.747
July-1895,-1.019
August-1895,-0.522
September-1895,-0.817
October-1895,-0.47
November-1895,-1
December-1895,0.072
January-1896,0.372
February-1896,-0.841
March-1896,-1.194
April-1896,-3.232
May-1896,-2.987
June-1896,-1.39
July-1896,-2.548
August-1896,-1.877
September-1896,-2.008
October-1896,-1.262
November-1896,-1.693
December-1896,-1.42
January-1897,-0.861
February-1897,-2.007
March-1897,-1.996
April-1897,-1.587
May-1897,-0.159
June-1897,-0.19
July-1897,-0.105
August-1897,-0.004
September-1897,0.099
October-1897,-0.964
November-1897,1.044
December-1897,0.649
January-1898,0.474
February-1898,2.018
March-1898,1.336
April-1898,-0.106
May-1898,-0.507
June-1898,0.649
July-1898,0.719
August-1898,0.878
September-1898,0.344
October-1898,0.016
November-1898,0.422
December-1898,1.314
January-1899,0.866
February-1899,1.383
March-1899,0.493
April-1899,-0.756
May-1899,-1.427
June-1899,-0.531
July-1899,-1.177
August-1899,-0.189
September-1899,0.743
October-1899,1.657
November-1899,-0.443
December-1899,-0.891
January-1900,-0.729
February-1900,-2.953
March-1900,-2.101
April-1900,-0.756
May-1900,3.096
June-1900,1.017
July-1900,0.751
August-1900,-1.612
September-1900,-2.125
October-1900,-0.753
November-1900,-0.728
December-1900,-0.09
January-1901,0.205
February-1901,0.88
March-1901,0.64
April-1901,0.08
May-1901,2.3
June-1901,1.508
July-1901,0.795
August-1901,-1.579
September-1901,-2.689
October-1901,-0.947
November-1901,-0.324
December-1901,1.677
January-1902,-0.282
February-1902,1.104
March-1902,1.146
April-1902,1.407
May-1902,0.236
June-1902,0.207
July-1902,-1.093
August-1902,-1.762
September-1902,-0.766
October-1902,-0.259
November-1902,-0.448
December-1902,-1.1
January-1903,-1.109
February-1903,1.803
March-1903,2.18
April-1903,0.923
May-1903,-0.215
June-1903,0.601
July-1903,-0.147
August-1903,0.814
September-1903,0.299
October-1903,-0.054
November-1903,1.664
December-1903,1.388
January-1904,1.533
February-1904,0.888
March-1904,3.635
April-1904,0.996
May-1904,-1.011
June-1904,-0.87
July-1904,-0.105
August-1904,-0.01
September-1904,-0.108
October-1904,-1.812
November-1904,0.178
December-1904,-1.083
January-1905,-1.838
February-1905,-3.506
March-1905,-3.05
April-1905,-1.678
May-1905,-2.295
June-1905,-2.105
July-1905,-0.964
August-1905,-0.697
September-1905,-0.828
October-1905,-1.808
November-1905,-1.569
December-1905,-0.427
January-1906,-0.875
February-1906,-0.56
March-1906,-0.836
April-1906,-1.027
May-1906,-0.715
June-1906,0.678
July-1906,1.426
August-1906,1.748
September-1906,0.807
October-1906,1.953
November-1906,0.302
December-1906,0.561
January-1907,-0.225
February-1907,-0.315
March-1907,-0.836
April-1907,-0.57
May-1907,0.449
June-1907,-0.031
July-1907,-1.048
August-1907,-0.068
September-1907,-0.435
October-1907,-0.579
November-1907,0.65
December-1907,-0.987
January-1908,0.837
February-1908,-0.412
March-1908,1.02
April-1908,0.18
May-1908,-0.631
June-1908,1.433
July-1908,0.204
August-1908,1.666
September-1908,0.721
October-1908,0.087
November-1908,-0.712
December-1908,-0.297
January-1909,-0.395
February-1909,-0.148
March-1909,-1.785
April-1909,0.074
May-1909,2.633
June-1909,1.083
July-1909,0.892
August-1909,0.064
September-1909,0.203
October-1909,0.741
November-1909,0.414
December-1909,0.601
January-1910,1.42
February-1910,1.25
March-1910,0.388
April-1910,0.087
May-1910,2.493
June-1910,2.065
July-1910,0.892
August-1910,1.46
September-1910,1.044
October-1910,1.742
November-1910,1.659
December-1910,0.304
January-1911,0.009
February-1911,0.223
March-1911,0.05
April-1911,-0.735
May-1911,-1.552
June-1911,-1.258
July-1911,-1.415
August-1911,-0.875
September-1911,-1.3
October-1911,-0.806
November-1911,-0.268
December-1911,-1.114
January-1912,-1.827
February-1912,-1.143
March-1912,-2.27
April-1912,-1.122
May-1912,-0.991
June-1912,-0.049
July-1912,-0.942
August-1912,-0.397
September-1912,-0.973
October-1912,0.125
November-1912,-1.009
December-1912,-0.41
January-1913,-0.627
February-1913,0.008
March-1913,-0.794
April-1913,-0.565
May-1913,-0.596
June-1913,-0.124
July-1913,-0.92
August-1913,-0.95
September-1913,-1.018
October-1913,-1.249
November-1913,-0.892
December-1913,-0.737
January-1914,0.185
February-1914,0.88
March-1914,-2.27
April-1914,-1.213
May-1914,-2.639
June-1914,-0.974
July-1914,-1.84
August-1914,-1.474
September-1914,-0.729
October-1914,-0.47
November-1914,0.169
December-1914,-2.711
January-1915,-0.594
February-1915,-2.495
March-1915,-1.49
April-1915,1.216
May-1915,2.68
June-1915,2.528
July-1915,1.298
August-1915,1.344
September-1915,0.948
October-1915,-1.743
November-1915,0.991
December-1915,0.561
January-1916,-0.524
February-1916,-0.835
March-1916,0.008
April-1916,0.432
May-1916,0.746
June-1916,2.574
July-1916,1.513
August-1916,0.417
September-1916,0.359
October-1916,0.774
November-1916,1.623
December-1916,0.457
January-1917,0.984
February-1917,1.862
March-1917,2.581
April-1917,2.397
May-1917,2.389
June-1917,2.827
July-1917,3.483
August-1917,2.843
September-1917,1.512
October-1917,1.933
November-1917,2.397
December-1917,1.459
January-1918,1.583
February-1918,-0.389
March-1918,2.074
April-1918,1.088
May-1918,-0.783
June-1918,-1.379
July-1918,-0.642
August-1918,-0.852
September-1918,-0.621
October-1918,0.021
November-1918,-1.004
December-1918,-1.621
January-1919,-1.194
February-1919,-1.565
March-1919,-0.372
April-1919,-0.955
May-1919,-1.463
June-1919,-0.87
July-1919,-0.9
August-1919,-0.592
September-1919,-1.255
October-1919,-1.229
November-1919,-1.116
December-1919,0.176
January-1920,-0.292
February-1920,-0.626
March-1920,-0.098
April-1920,-0.398
May-1920,0.399
June-1920,0.922
July-1920,0.442
August-1920,0.468
September-1920,-0.687
October-1920,-0.194
November-1920,0.991
December-1920,1.091
January-1921,0.585
February-1921,1.072
March-1921,-1.279
April-1921,-0.011
May-1921,4.073
June-1921,0.29
