Month,SOI_index,Weather
01/02/1882,0.409,La Nada
01/03/1882,-0.055,La Nada
01/04/1882,0.347,La Nada
01/05/1882,-1.754,El Nino
01/06/1882,-2.125,El Nino
01/07/1882,-2.743,El Nino
01/08/1882,-1.444,El Nino
01/09/1882,-0.093,La Nada
01/10/1882,0.212,La Nada
01/11/1882,1.044,La Nina
01/12/1882,0.48,La Nina
01/01/1883,-0.948,El Nino
01/02/1883,-2.938,El Nino
01/03/1883,1.632,La Nina
01/04/1883,1.468,La Nina
01/05/1883,0.257,La Nada
01/06/1883,-1.011,El Nino
01/07/1883,0.063,La Nada
01/08/1883,-0.81,El Nino
01/09/1883,0.355,La Nada
01/10/1883,0.194,La Nada
01/11/1883,-1.774,El Nino
01/12/1883,-1.398,El Nino
01/01/1884,-0.613,El Nino
01/02/1884,0.882,La Nina
01/03/1884,-1.595,El Nino
01/04/1884,0.18,La Nada
01/05/1884,0.984,La Nina
01/06/1884,-0.276,La Nada
01/07/1884,-0.633,El Nino
01/08/1884,-0.702,El Nino
01/09/1884,0.381,La Nada
01/10/1884,-0.26,La Nada
01/11/1884,-1.5,El Nino
01/12/1884,-1.783,El Nino
01/01/1885,0.037,La Nada
01/02/1885,0.386,La Nada
01/03/1885,0.155,La Nada
01/04/1885,0.014,La Nada
01/05/1885,-1.911,El Nino
01/06/1885,-0.446,La Nada
01/07/1885,-1.135,El Nino
01/08/1885,-0.431,La Nada
01/09/1885,-1.922,El Nino
01/10/1885,-1.547,El Nino
01/11/1885,0.466,La Nada
01/12/1885,-0.217,La Nada
01/01/1886,0.005,La Nada
01/02/1886,0.149,La Nada
01/03/1886,0.493,La Nina
01/04/1886,0.539,La Nina
01/05/1886,0.429,La Nada
01/06/1886,0.741,La Nina
01/07/1886,1.33,La Nina
01/08/1886,1.282,La Nina
01/09/1886,1.301,La Nina
01/10/1886,0.882,La Nina
01/11/1886,1.508,La Nina
01/12/1886,1.201,La Nina
01/01/1887,0.953,La Nina
01/02/1887,0.947,La Nina
01/03/1887,0.999,La Nina
01/04/1887,-0.584,El Nino
01/05/1887,0.465,La Nada
01/06/1887,0.525,La Nina
01/07/1887,0.333,La Nada
01/08/1887,0.451,La Nada
01/09/1887,0.506,La Nina
01/10/1887,-0.633,El Nino
01/11/1887,0.454,La Nada
01/12/1887,-0.322,La Nada
01/01/1888,-0.328,La Nada
01/02/1888,-1.475,El Nino
01/03/1888,-2.797,El Nino
01/04/1888,-1.12,El Nino
01/05/1888,-2.155,El Nino
01/06/1888,-1.643,El Nino
01/07/1888,-1.093,El Nino
01/08/1888,-0.938,El Nino
01/09/1888,-1.611,El Nino
01/10/1888,-1.369,El Nino
01/11/1888,-0.395,La Nada
01/12/1888,-2.841,El Nino
01/01/1889,-0.213,La Nada
01/02/1889,-3.196,El Nino
01/03/1889,0.071,La Nada
01/04/1889,-0.191,La Nada
01/05/1889,2.493,La Nina
01/06/1889,0.178,La Nada
01/07/1889,0.046,La Nada
01/08/1889,1.051,La Nina
01/09/1889,0.285,La Nada
01/10/1889,1.919,La Nina
01/11/1889,2.349,La Nina
01/12/1889,2.163,La Nina
01/01/1890,1.032,La Nina
01/02/1890,1.427,La Nina
01/03/1890,0.746,La Nina
01/04/1890,0.345,La Nada
01/05/1890,0.449,La Nada
01/06/1890,-0.23,La Nada
01/07/1890,-0.417,La Nada
01/08/1890,0.883,La Nina
01/09/1890,0.174,La Nada
01/10/1890,0.162,La Nada
01/11/1890,-0.042,La Nada
01/12/1890,1.555,La Nina
01/01/1891,-0.491,El Nino
01/02/1891,-1.223,El Nino
01/03/1891,0.704,La Nina
01/04/1891,0.279,La Nada
01/05/1891,-0.284,La Nada
01/06/1891,-0.578,El Nino
01/07/1891,-1.197,El Nino
01/08/1891,-1.077,El Nino
01/09/1891,0.054,La Nada
01/10/1891,-0.487,El Nino
01/11/1891,-0.619,El Nino
01/12/1891,0.199,La Nada
01/01/1892,-1.127,El Nino
01/02/1892,1.087,La Nina
01/03/1892,0.957,La Nina
01/04/1892,1.373,La Nina
01/05/1892,2.253,La Nina
01/06/1892,0.781,La Nina
01/07/1892,0.484,La Nina
01/08/1892,0.007,La Nada
01/09/1892,0.852,La Nina
01/10/1892,-0.878,El Nino
01/11/1892,0.298,La Nada
01/12/1892,0.912,La Nina
01/01/1893,0.652,La Nina
01/02/1893,0.32,La Nada
01/03/1893,1.442,La Nina
01/04/1893,1.76,La Nina
01/05/1893,2.149,La Nina
01/06/1893,1.876,La Nina
01/07/1893,0.602,La Nina
01/08/1893,1.212,La Nina
01/09/1893,0.626,La Nina
01/10/1893,0.828,La Nina
01/11/1893,-0.496,El Nino
01/12/1893,2.149,La Nina
01/01/1894,0.969,La Nina
01/02/1894,0.823,La Nina
01/03/1894,1.104,La Nina
01/04/1894,-0.857,El Nino
01/05/1894,-0.008,La Nada
01/06/1894,0.471,La Nina
01/07/1894,-1.405,El Nino
01/08/1894,-0.241,La Nada
01/09/1894,0.31,La Nada
01/10/1894,-0.894,El Nino
01/11/1894,0.065,La Nada
01/12/1894,0.544,La Nina
01/01/1895,0.617,La Nina
01/02/1895,-0.265,La Nada
01/03/1895,1.336,La Nina
01/04/1895,0.651,La Nina
01/05/1895,-1.255,El Nino
01/06/1895,-0.747,El Nino
01/07/1895,-1.019,El Nino
01/08/1895,-0.522,El Nino
01/09/1895,-0.817,El Nino
01/10/1895,-0.47,El Nino
01/11/1895,-1,El Nino
01/12/1895,0.072,La Nada
01/01/1896,0.372,La Nada
01/02/1896,-0.841,El Nino
01/03/1896,-1.194,El Nino
01/04/1896,-3.232,El Nino
01/05/1896,-2.987,El Nino
01/06/1896,-1.39,El Nino
01/07/1896,-2.548,El Nino
01/08/1896,-1.877,El Nino
01/09/1896,-2.008,El Nino
01/10/1896,-1.262,El Nino
01/11/1896,-1.693,El Nino
01/12/1896,-1.42,El Nino
01/01/1897,-0.861,El Nino
01/02/1897,-2.007,El Nino
01/03/1897,-1.996,El Nino
01/04/1897,-1.587,El Nino
01/05/1897,-0.159,La Nada
01/06/1897,-0.19,La Nada
01/07/1897,-0.105,La Nada
01/08/1897,-0.004,La Nada
01/09/1897,0.099,La Nada
01/10/1897,-0.964,El Nino
01/11/1897,1.044,La Nina
01/12/1897,0.649,La Nina
01/01/1898,0.474,La Nina
01/02/1898,2.018,La Nina
01/03/1898,1.336,La Nina
01/04/1898,-0.106,La Nada
01/05/1898,-0.507,El Nino
01/06/1898,0.649,La Nina
01/07/1898,0.719,La Nina
01/08/1898,0.878,La Nina
01/09/1898,0.344,La Nada
01/10/1898,0.016,La Nada
01/11/1898,0.422,La Nada
01/12/1898,1.314,La Nina
01/01/1899,0.866,La Nina
01/02/1899,1.383,La Nina
01/03/1899,0.493,La Nina
01/04/1899,-0.756,El Nino
01/05/1899,-1.427,El Nino
01/06/1899,-0.531,El Nino
01/07/1899,-1.177,El Nino
01/08/1899,-0.189,La Nada
01/09/1899,0.743,La Nina
01/10/1899,1.657,La Nina
01/11/1899,-0.443,La Nada
01/12/1899,-0.891,El Nino
01/01/1900,-0.729,El Nino
01/02/1900,-2.953,El Nino
01/03/1900,-2.101,El Nino
01/04/1900,-0.756,El Nino
01/05/1900,3.096,La Nina
01/06/1900,1.017,La Nina
01/07/1900,0.751,La Nina
01/08/1900,-1.612,El Nino
01/09/1900,-2.125,El Nino
01/10/1900,-0.753,El Nino
01/11/1900,-0.728,El Nino
01/12/1900,-0.09,La Nada
01/01/1901,0.205,La Nada
01/02/1901,0.88,La Nina
01/03/1901,0.64,La Nina
01/04/1901,0.08,La Nada
01/05/1901,2.3,La Nina
01/06/1901,1.508,La Nina
01/07/1901,0.795,La Nina
01/08/1901,-1.579,El Nino
01/09/1901,-2.689,El Nino
01/10/1901,-0.947,El Nino
01/11/1901,-0.324,La Nada
01/12/1901,1.677,La Nina
01/01/1902,-0.282,La Nada
01/02/1902,1.104,La Nina
01/03/1902,1.146,La Nina
01/04/1902,1.407,La Nina
01/05/1902,0.236,La Nada
01/06/1902,0.207,La Nada
01/07/1902,-1.093,El Nino
01/08/1902,-1.762,El Nino
01/09/1902,-0.766,El Nino
01/10/1902,-0.259,La Nada
01/11/1902,-0.448,La Nada
01/12/1902,-1.1,El Nino
01/01/1903,-1.109,El Nino
01/02/1903,1.803,La Nina
01/03/1903,2.18,La Nina
01/04/1903,0.923,La Nina
01/05/1903,-0.215,La Nada
01/06/1903,0.601,La Nina
01/07/1903,-0.147,La Nada
01/08/1903,0.814,La Nina
01/09/1903,0.299,La Nada
01/10/1903,-0.054,La Nada
01/11/1903,1.664,La Nina
01/12/1903,1.388,La Nina
01/01/1904,1.533,La Nina
01/02/1904,0.888,La Nina
01/03/1904,3.635,La Nina
01/04/1904,0.996,La Nina
01/05/1904,-1.011,El Nino
01/06/1904,-0.87,El Nino
01/07/1904,-0.105,La Nada
01/08/1904,-0.01,La Nada
01/09/1904,-0.108,La Nada
01/10/1904,-1.812,El Nino
01/11/1904,0.178,La Nada
01/12/1904,-1.083,El Nino
01/01/1905,-1.838,El Nino
01/02/1905,-3.506,El Nino
01/03/1905,-3.05,El Nino
